placeID,parking_lot
134999,public
132825,none
135106,none
132667,street
132613,street
135040,street
132732,none
132875,yes
132609,valet parking
135082,valet parking
135070,public
135069,none
135065,valet parking
135076,valet parking
135086,yes
132870,public
132854,yes
132937,none
132856,fee
132668,public
135033,yes
132862,public
134983,yes
132851,public
135013,yes
135042,street
132768,street
132561,street
135045,none
132847,yes
135054,yes
134975,yes
135053,yes
135050,public
135025,yes
135030,none
135057,yes
135079,yes
134992,yes
132954,yes
135041,none
132608,yes
135046,none
132564,yes
132869,none
132925,yes
132955,yes
135059,none
135001,yes
135063,public
135080,yes
135000,none
135066,yes
135034,yes
135060,yes
135055,none
135108,none
135074,yes
135018,none
135064,yes
135038,yes
135081,yes
132723,yes
135051,validated parking
135021,validated parking
135052,validated parking
132845,none
135011,yes
132858,yes
135026,none
132884,yes
135016,yes
135104,yes
132630,none
135047,none
132951,public
132665,yes
135044,validated parking
135035,validated parking
135071,validated parking
132834,validated parking
132846,none
135048,none
132717,yes
132861,none
132885,none
132740,public
132830,yes
132773,none
132706,yes
132872,none
134987,none
132572,none
132958,none
132733,validated parking
132922,validated parking
132715,validated parking
135027,none
132767,none
135039,yes
134996,none
132755,yes
135043,none
132654,none
135049,yes
135073,none
132560,yes
134976,none
135075,none
132660,yes
132921,none
132594,yes
134986,none
135062,none
132766,none
135088,yes
135058,yes
132754,yes
132584,yes
135032,valet parking
135028,none
135085,yes
132663,yes
132626,yes
132583,yes
132866,none
135072,none
135109,none
135019,none
132877,yes
